boundAngle,0.17182845,0.31369594,2.7332203,2.5956583,1.4983823,1.6281252,0.55975443,0.44876382
boundAngle,0.29936314,0.36287594,2.479978,2.3593185,1.8934284,1.7367698, NaN, NaN
boundAngle,0.17372319,0.27472997,2.728917,2.5760143,1.4975827,1.7113018,0.5035153,0.504198
boundAngle,0.16526209,0.39916334,2.8196332,2.4437644,1.4055347,1.5379938,0.48966628,0.42372385
boundAngle,0.18356708,0.29015994,2.7066605,2.6916287,1.4934255,1.5314277, NaN, NaN
boundAngle,0.20184295,0.29486164,2.7371097,2.6846323,1.4921569,1.5266263, NaN, NaN
boundAngle,0.07842079,0.2635241,2.9985092,2.7010627,1.4923749,1.4149059,0.4749106,0.368048
boundAngle,0.07913426,0.2559534,2.9972205,2.8058763,1.4916614,1.4415364, NaN, NaN
boundAngle,0.07894554,0.29599497,2.9975622,2.5367246,1.4918512,1.5254794, NaN, NaN
boundAngle,0.15726341,0.34210894,2.8586748,2.550898,1.4135333,1.337277, NaN, NaN
boundAngle,0.1578071,0.34327948,2.8577323,2.5490758,1.4129893,1.3364854,0.46987715,0.36389717
boundAngle,0.0792375,0.29707688,2.9970355,2.5347474,1.4915594,1.5243865, NaN, NaN
boundAngle,0.079720214,0.29886818,2.996163,2.5314777,1.4910761,1.5225854, NaN, NaN
boundAngle,0.20656255,0.3862203,2.7279623,2.5263238,1.4903117,1.4228872, NaN, NaN
boundAngle,0.08083883,0.2715753,2.9941413,2.539629,1.4899569,1.5342003, NaN, NaN
boundAngle,0.08164674,0.27426556,2.9926822,2.5343559,1.4891487,1.5313935, NaN, NaN
boundAngle,0.081978604,0.27536663,2.9920852,2.5322037,1.488818,1.530252, NaN, NaN
boundAngle,0.16115022,0.27244893,2.9936678,2.6868362,1.4096462,1.5332863,0.46132234,0.39629394
boundAngle,0.1598624,0.2858776,2.9948535,2.7281594,1.4109341,1.5355779,0.46458557,0.39942244
boundAngle,0.15974404,0.28566593,2.9949632,2.7284575,1.4110527,1.5357894,0.46488747,0.39971218
boundAngle,0.16070457,0.2873898,2.9940772,2.7260318,1.4100915,1.5340768,0.46244586,0.39737007
boundAngle,0.16161205,0.28901652,2.993243,2.7237449,1.4091845,1.5324687,0.4601634,0.39518425
boundAngle,0.16087806,0.28770003,2.9939184,2.7255955,1.4099181,1.5337689,0.46200773,0.39695016
boundAngle,0.08005259,0.28449687,2.9955623,2.6006494,1.4907439,1.5369545, NaN, NaN
boundAngle,0.08029596,0.28535464,2.9951222,2.5991406,1.4905001,1.5360997, NaN, NaN
boundAngle,0.07991682,0.29959607,2.9958072,2.6014893,1.4908794,1.6434884, NaN, NaN
boundAngle,0.08026623,0.2852513,2.9951746,2.599322,1.4905293,1.5362014, NaN, NaN
boundAngle,0.080564514,0.28629833,2.9946375,2.5974827,1.4902318,1.5351596, NaN, NaN
boundAngle,0.08015017,0.2848405,2.995386,2.6000452,1.4906461,1.5366122, NaN, NaN
boundAngle,0.08005855,0.28451705,2.9955525,2.6006138,1.4907382,1.5369351, NaN, NaN
boundAngle,0.07921716,0.28155702,2.9970715,2.6058264,1.4915794,1.5399069, NaN, NaN
boundAngle,0.07949386,0.29803157,2.9965703,2.5330038,1.491302,1.5234251, NaN, NaN
boundAngle,0.078500636,0.2943501,2.9983647,2.6853929,1.4922953,1.5271453, NaN, NaN
boundAngle,0.15380622,0.29012367,3.0004256,2.6916819,1.4169896,1.5314654, NaN, NaN
boundAngle,0.076796345,0.28802544,3.0014477,2.694808,1.4940006,1.5336294, NaN, NaN
boundAngle,0.22217345,0.28494886,2.730793,2.699397,1.4872673,1.5368279, NaN, NaN
boundAngle,0.22427145,0.368497,2.7270212,2.5520906,1.4864749,1.4402283,0.5814829,0.49341142
boundAngle,0.2227254,0.28565368,2.7298007,2.555729,1.4870588,1.5360928,0.5846925,0.5096501
catCow,1.3397541, NaN,2.9418666, NaN,1.9659691,1.8747351, NaN, NaN
catCow,1.3671011, NaN,2.9184403, NaN,1.7744915,1.8757374, NaN, NaN
catCow,1.3080807,1.5116775,2.9132445,3.049421, NaN,1.9510633, NaN, NaN
catCow,1.336977, NaN,2.8686724, NaN,2.1096797,1.5420234, NaN, NaN
catCow,1.3207489,1.2351077,2.9482608,2.9273999,1.8208437, NaN, NaN, NaN
catCow,1.2497615,1.498535,3.1415927,2.8803952,2.1071444,1.9042552, NaN, NaN
catCow,1.3255924,0.96336013,2.7614162,3.1415927, NaN, NaN, NaN, NaN
catCow,1.5766089,1.560127,2.8576381,2.5411353,1.8489385,1.6186705,1.5707964,1.3786371
catCow,1.4677496,1.5581601,2.9131892, NaN,2.1105087,1.6035734, NaN, NaN
catCow,1.2869074,1.759165,2.826081, NaN,2.079319,1.9833367,1.7954302,1.6581044
catCow,1.2285719,1.4989505,2.8190832, NaN,2.1428125,2.0447803,1.8858784,1.7401541
